iteration,23,88,530,group_sat,group_dis
1,0.8594895506858088,0.8710620336766988,0.8022925230298126,0.8442813691307732,0.06876951064688619
2,0.823403916788606,0.8583516755293708,0.7818676699708941,0.8212077540962902,0.07648400555847668
3,0.800680669848932,0.862406817140131,0.7658548560662883,0.8096474476851171,0.09655196107384267
4,0.7861915097709201,0.8495171191701109,0.7631417550822454,0.7996167946744254,0.0863753640878655
5,0.7716071255070238,0.839319408950801,0.7570070382722627,0.7893111909100291,0.08231237067853836
